10	300
Abel_Pacheco	1001	1004
Akhmed_Zakayev	1001	1003
Akhmed_Zakayev	1002	1003
Amber_Tamblyn	1001	1002
Anders_Fogh_Rasmussen	1001	1003
Anders_Fogh_Rasmussen	1001	1004
Angela_Bassett	1001	1005
Angela_Bassett	1002	1005
Angela_Bassett	1003	1004
Ann_Veneman	1003	1005
Ann_Veneman	1006	1010
Ann_Veneman	1010	1011
Anthony_Fauci	1001	1002
Antony_Leung	1001	1002
Antony_Leung	1002	1003
Anwar_Ibrahim	1001	1002
Augusto_Pinochet	1001	1002
Barbara_Brezigar	1001	1002
Benjamin_Netanyahu	1001	1004
Benjamin_Netanyahu	1004	1005
Bernard_Law	1002	1003
Bernard_Law	1003	1004
Bertrand_Bonello	1001	1002
Bill_Frist	1002	1009
Bill_Frist	1004	1005
Bob_Graham	1002	1004
Bob_Graham	1003	1006
Bob_Graham	1004	1006
Bob_Graham	1005	1006
Boris_Becker	1002	1006
Brad_Johnson	1001	1003
Brad_Johnson	1002	1003
Brad_Johnson	1002	1004
Brian_Griese	1001	1002
Candice_Bergen	1001	1002
Candice_Bergen	1002	1003
Carla_Myers	1001	1002
Cathy_Freeman	1001	1002
Chang_Dae-whan	1001	1002
Charles_Grassley	1001	1002
Clare_Short	1001	1003
Clare_Short	1001	1004
Corinne_Coman	1001	1002
Dai_Bachtiar	1001	1002
Dale_Earnhardt_Jr	1001	1003
David_Caruso	1001	1002
Demi_Moore	1001	1003
Dick_Vermeil	1001	1002
Doris_Roberts	1001	1002
Doris_Roberts	1001	1003
Drew_Barrymore	1001	1002
Edmund_Stoiber	1004	1007
Edmund_Stoiber	1005	1007
Edmund_Stoiber	1007	1012
Edmund_Stoiber	1009	1011
Elinor_Caplan	1001	1002
Emmanuelle_Beart	1001	1002
Emmanuelle_Beart	1001	1003
Federico_Trillo	1001	1002
Federico_Trillo	1001	1003
Federico_Trillo	1002	1003
Francis_Ford_Coppola	1001	1002
Fred_Thompson	1001	1002
Fred_Thompson	1001	1003
Fred_Thompson	1002	1003
Garry_Trudeau	1001	1002
Gary_Williams	1001	1002
Gene_Robinson	1001	1002
Gene_Robinson	1001	1003
Gene_Robinson	1002	1003
George_Galloway	1001	1003
George_Galloway	1002	1003
George_Galloway	1002	1004
Geraldine_Chaplin	1001	1002
Geraldine_Chaplin	1001	1004
Geraldine_Chaplin	1003	1004
Gerardo_Gambala	1001	1002
Gian_Marco	1001	1002
Gian_Marco	1002	1003
Gillian_Anderson	1001	1002
Gordon_Brown	1006	1009
Gordon_Brown	1010	1013
Grant_Hackett	1001	1002
Grant_Hackett	1001	1003
Grant_Hackett	1001	1005
Gray_Davis	1007	1022
Gray_Davis	1021	1026
Gregg_Popovich	1001	1005
Gregg_Popovich	1003	1004
Guy_Ritchie	1001	1002
Hamzah_Haz	1001	1002
Harbhajan_Singh	1001	1002
Hootie_Johnson	1001	1002
Hugo_Chavez	1002	1027
Hugo_Chavez	1027	1053
Hugo_Chavez	1036	1051
Hugo_Chavez	1041	1050
Hugo_Chavez	1045	1056
Isaiah_Washington	1001	1002
Jack_Grubman	1001	1002
Jacques_Rogge	1001	1009
Jacques_Rogge	1003	1007
Jacques_Rogge	1003	1010
Jacques_Rogge	1004	1006
Jacques_Rogge	1004	1009
Jacques_Rogge	1005	1008
Jacques_Rogge	1006	1008
James_Caan	1001	1002
James_Caan	1001	1003
James_Caan	1002	1003
James_Jones	1001	1002
Jamling_Norgay	1001	1002
Janica_Kostelic	1001	1002
Jeanne_Moreau	1001	1002
Jeffrey_Archer	1001	1002
Jennifer_Garner	1001	1003
Jennifer_Garner	1004	1009
Jennifer_Garner	1005	1006
Jennifer_Garner	1005	1009
Jennifer_Garner	1007	1012
Jennifer_Garner	1008	1011
Jeremy_Greenstock	1002	1024
Jeremy_Greenstock	1003	1022
Jeremy_Greenstock	1005	1011
Jeremy_Greenstock	1010	1014
Jeremy_Greenstock	1017	1021
Jessica_Lange	1001	1002
Jimmy_Carter	1001	1007
Jimmy_Carter	1004	1006
Jimmy_Carter	1005	1008
Jimmy_Carter	1006	1007
Jodie_Foster	1001	1002
John_Manley	1001	1006
John_Manley	1002	1005
John_McCain	1002	1003
John_McCain	1003	1007
John_McCain	1006	1007
John_Snow	1003	1015
John_Snow	1004	1016
John_Snow	1009	1011
Johnson_Panjaitan	1001	1002
Jorge_Castaneda	1001	1002
Jose_Serra	1001	1009
Jose_Serra	1002	1008
Jose_Serra	1003	1005
Jose_Serra	1003	1007
Jose_Serra	1006	1009
Jose_Theodore	1001	1002
Joseph_Blatter	1001	1002
