10	300
Abel_Pacheco	1001	4
Akhmed_Zakayev	1001	3
Akhmed_Zakayev	1002	3
Amber_Tamblyn	1001	2
Anders_Fogh_Rasmussen	1001	3
Anders_Fogh_Rasmussen	1001	4
Angela_Bassett	1001	5
Angela_Bassett	1002	5
Angela_Bassett	1003	4
Ann_Veneman	1003	5
Ann_Veneman	1006	10
Ann_Veneman	1010	11
Anthony_Fauci	1001	2
Antony_Leung	1001	2
Antony_Leung	1002	3
Anwar_Ibrahim	1001	2
Augusto_Pinochet	1001	2
Barbara_Brezigar	1001	2
Benjamin_Netanyahu	1001	4
Benjamin_Netanyahu	1004	5
Bernard_Law	1002	3
Bernard_Law	1003	4
Bertrand_Bonello	1001	2
Bill_Frist	1002	9
Bill_Frist	1004	5
Bob_Graham	1002	4
Bob_Graham	1003	6
Bob_Graham	1004	6
Bob_Graham	1005	6
Boris_Becker	1002	6
Brad_Johnson	1001	3
Brad_Johnson	1002	3
Brad_Johnson	1002	4
Brian_Griese	1001	2
Candice_Bergen	1001	2
Candice_Bergen	1002	3
Carla_Myers	1001	2
Cathy_Freeman	1001	2
Chang_Dae-whan	1001	2
Charles_Grassley	1001	2
Clare_Short	1001	3
Clare_Short	1001	4
Corinne_Coman	1001	2
Dai_Bachtiar	1001	2
Dale_Earnhardt_Jr	1001	3
David_Caruso	1001	2
Demi_Moore	1001	3
Dick_Vermeil	1001	2
Doris_Roberts	1001	2
Doris_Roberts	1001	3
Drew_Barrymore	1001	2
Edmund_Stoiber	1004	7
Edmund_Stoiber	1005	7
Edmund_Stoiber	1007	12
Edmund_Stoiber	1009	11
Elinor_Caplan	1001	2
Emmanuelle_Beart	1001	2
Emmanuelle_Beart	1001	3
Federico_Trillo	1001	2
Federico_Trillo	1001	3
Federico_Trillo	1002	3
Francis_Ford_Coppola	1001	2
Fred_Thompson	1001	2
Fred_Thompson	1001	3
Fred_Thompson	1002	3
Garry_Trudeau	1001	2
Gary_Williams	1001	2
Gene_Robinson	1001	2
Gene_Robinson	1001	3
Gene_Robinson	1002	3
George_Galloway	1001	3
George_Galloway	1002	3
George_Galloway	1002	4
Geraldine_Chaplin	1001	2
Geraldine_Chaplin	1001	4
Geraldine_Chaplin	1003	4
Gerardo_Gambala	1001	2
Gian_Marco	1001	2
Gian_Marco	1002	3
Gillian_Anderson	1001	2
Gordon_Brown	1006	9
Gordon_Brown	1010	13
Grant_Hackett	1001	2
Grant_Hackett	1001	3
Grant_Hackett	1001	5
Gray_Davis	1007	22
Gray_Davis	1021	26
Gregg_Popovich	1001	5
Gregg_Popovich	1003	4
Guy_Ritchie	1001	2
Hamzah_Haz	1001	2
Harbhajan_Singh	1001	2
Hootie_Johnson	1001	2
Hugo_Chavez	1002	27
Hugo_Chavez	1027	53
Hugo_Chavez	1036	51
Hugo_Chavez	1041	50
Hugo_Chavez	1045	56
Isaiah_Washington	1001	2
Jack_Grubman	1001	2
Jacques_Rogge	1001	9
Jacques_Rogge	1003	7
Jacques_Rogge	1003	10
Jacques_Rogge	1004	6
Jacques_Rogge	1004	9
Jacques_Rogge	1005	8
Jacques_Rogge	1006	8
James_Caan	1001	2
James_Caan	1001	3
James_Caan	1002	3
James_Jones	1001	2
Jamling_Norgay	1001	2
Janica_Kostelic	1001	2
Jeanne_Moreau	1001	2
Jeffrey_Archer	1001	2
Jennifer_Garner	1001	3
Jennifer_Garner	1004	9
Jennifer_Garner	1005	6
Jennifer_Garner	1005	9
Jennifer_Garner	1007	12
Jennifer_Garner	1008	11
Jeremy_Greenstock	1002	24
Jeremy_Greenstock	1003	22
Jeremy_Greenstock	1005	11
Jeremy_Greenstock	1010	14
Jeremy_Greenstock	1017	21
Jessica_Lange	1001	2
Jimmy_Carter	1001	7
Jimmy_Carter	1004	6
Jimmy_Carter	1005	8
Jimmy_Carter	1006	7
Jodie_Foster	1001	2
John_Manley	1001	6
John_Manley	1002	5
John_McCain	1002	3
John_McCain	1003	7
John_McCain	1006	7
John_Snow	1003	15
John_Snow	1004	16
John_Snow	1009	11
Johnson_Panjaitan	1001	2
