10	300
Abel_Pacheco	1	1004
Akhmed_Zakayev	1	1003
Akhmed_Zakayev	2	1003
Amber_Tamblyn	1	1002
Anders_Fogh_Rasmussen	1	1003
Anders_Fogh_Rasmussen	1	1004
Angela_Bassett	1	1005
Angela_Bassett	2	1005
Angela_Bassett	3	1004
Ann_Veneman	3	1005
Ann_Veneman	6	1010
Ann_Veneman	10	1011
Anthony_Fauci	1	1002
Antony_Leung	1	1002
Antony_Leung	2	1003
Anwar_Ibrahim	1	1002
Augusto_Pinochet	1	1002
Barbara_Brezigar	1	1002
Benjamin_Netanyahu	1	1004
Benjamin_Netanyahu	4	1005
Bernard_Law	2	1003
Bernard_Law	3	1004
Bertrand_Bonello	1	1002
Bill_Frist	2	1009
Bill_Frist	4	1005
Bob_Graham	2	1004
Bob_Graham	3	1006
Bob_Graham	4	1006
Bob_Graham	5	1006
Boris_Becker	2	1006
Brad_Johnson	1	1003
Brad_Johnson	2	1003
Brad_Johnson	2	1004
Brian_Griese	1	1002
Candice_Bergen	1	1002
Candice_Bergen	2	1003
Carla_Myers	1	1002
Cathy_Freeman	1	1002
Chang_Dae-whan	1	1002
Charles_Grassley	1	1002
Clare_Short	1	1003
Clare_Short	1	1004
Corinne_Coman	1	1002
Dai_Bachtiar	1	1002
Dale_Earnhardt_Jr	1	1003
David_Caruso	1	1002
Demi_Moore	1	1003
Dick_Vermeil	1	1002
Doris_Roberts	1	1002
Doris_Roberts	1	1003
Drew_Barrymore	1	1002
Edmund_Stoiber	4	1007
Edmund_Stoiber	5	1007
Edmund_Stoiber	7	1012
Edmund_Stoiber	9	1011
Elinor_Caplan	1	1002
Emmanuelle_Beart	1	1002
Emmanuelle_Beart	1	1003
Federico_Trillo	1	1002
Federico_Trillo	1	1003
Federico_Trillo	2	1003
Francis_Ford_Coppola	1	1002
Fred_Thompson	1	1002
Fred_Thompson	1	1003
Fred_Thompson	2	1003
Garry_Trudeau	1	1002
Gary_Williams	1	1002
Gene_Robinson	1	1002
Gene_Robinson	1	1003
Gene_Robinson	2	1003
George_Galloway	1	1003
George_Galloway	2	1003
George_Galloway	2	1004
Geraldine_Chaplin	1	1002
Geraldine_Chaplin	1	1004
Geraldine_Chaplin	3	1004
Gerardo_Gambala	1	1002
Gian_Marco	1	1002
Gian_Marco	2	1003
Gillian_Anderson	1	1002
Gordon_Brown	6	1009
Gordon_Brown	10	1013
Grant_Hackett	1	1002
Grant_Hackett	1	1003
Grant_Hackett	1	1005
Gray_Davis	7	1022
Gray_Davis	21	1026
Gregg_Popovich	1	1005
Gregg_Popovich	3	1004
Guy_Ritchie	1	1002
Hamzah_Haz	1	1002
Harbhajan_Singh	1	1002
Hootie_Johnson	1	1002
Hugo_Chavez	2	1027
Hugo_Chavez	27	1053
Hugo_Chavez	36	1051
Hugo_Chavez	41	1050
Hugo_Chavez	45	1056
Isaiah_Washington	1	1002
Jack_Grubman	1	1002
Jacques_Rogge	1	1009
Jacques_Rogge	3	1007
Jacques_Rogge	3	1010
Jacques_Rogge	4	1006
Jacques_Rogge	4	1009
Jacques_Rogge	5	1008
Jacques_Rogge	6	1008
James_Caan	1	1002
James_Caan	1	1003
James_Caan	2	1003
James_Jones	1	1002
Jamling_Norgay	1	1002
Janica_Kostelic	1	1002
Jeanne_Moreau	1	1002
Jeffrey_Archer	1	1002
Jennifer_Garner	1	1003
Jennifer_Garner	4	1009
Jennifer_Garner	5	1006
Jennifer_Garner	5	1009
Jennifer_Garner	7	1012
Jennifer_Garner	8	1011
Jeremy_Greenstock	2	1024
Jeremy_Greenstock	3	1022
Jeremy_Greenstock	5	1011
Jeremy_Greenstock	10	1014
Jeremy_Greenstock	17	1021
Jessica_Lange	1	1002
Jimmy_Carter	1	1007
Jimmy_Carter	4	1006
Jimmy_Carter	5	1008
Jimmy_Carter	6	1007
Jodie_Foster	1	1002
John_Manley	1	1006
John_Manley	2	1005
John_McCain	2	1003
John_McCain	3	1007
John_McCain	6	1007
John_Snow	3	1015
John_Snow	4	1016
John_Snow	9	1011
Johnson_Panjaitan	1	1002
Jorge_Castaneda	1	1002
Jose_Serra	1	1009
Jose_Serra	2	1008
Jose_Serra	3	1005
Jose_Serra	3	1007
Jose_Serra	6	1009
Jose_Theodore	1	1002
Joseph_Blatter	1	1002
Joseph_Ralston	1	1002
Juan_Pablo_Montoya	1	1008
Juan_Pablo_Montoya	2	1004
Juan_Pablo_Montoya	4	1005
Julianna_Margulies	1	1002
Justin_Guarini	1	1002
Justin_Guarini	2	1003
Justine_Henin	2	1003
Kate_Winslet	1	1002
Kate_Winslet	1	1004
Kate_Winslet	2	1003
Kate_Winslet	2	1004
Kathy_Winters	1	1002
Kelvin_Sampson	1	1002
Kevin_Stallings	1	1002
Kim_Jong-Il	2	1003
Kristin_Davis	1	1002
Kristin_Davis	2	1003
Lance_Armstrong	1	1017
Lance_Armstrong	5	1010
Lance_Armstrong	7	1011
Lance_Armstrong	10	1018
Lance_Armstrong	14	1017
Laurent_Jalabert	1	1002
Lindsey_Graham	1	1002
Lisa_Gottsegen	1	1002
Lleyton_Hewitt	1	1013
Lleyton_Hewitt	16	1027
Lleyton_Hewitt	18	1037
Lleyton_Hewitt	24	1036
Luis_Ernesto_Derbez_Bautista	3	1006
Mario_Dumont	1	1002
Mark_Wahlberg	1	1003
Mark_Wahlberg	2	1003
Mark_Wahlberg	2	1004
Marlene_Weingartner	1	1002
Martha_Bowen	1	1002
Martin_Cauchon	1	1002
Martin_Hoellwarth	1	1002
Martin_Sheen	1	1002
Matthew_Broderick	1	1004
Matthew_Broderick	2	1003
Mike_Krzyzewski	1	1006
Mikhail_Gorbachev	1	1002
Monica_Bellucci	1	1004
Monica_Bellucci	2	1004
Naomi_Campbell	1	1002
Nestor_Kirchner	3	1030
Nestor_Kirchner	12	1021
Nestor_Kirchner	17	1025
Nicolas_Lapentti	1	1002
Noah_Wyle	2	1003
Nora_Bendijo	1	1002
Nursultan_Nazarbayev	1	1002
Pamela_Anderson	1	1002
Pamela_Anderson	1	1005
Patricia_Heaton	1	1002
Patty_Schnyder	1	1002
Patty_Schnyder	2	1003
Patty_Schnyder	2	1004
Patty_Schnyder	3	1004
Paul_Bremer	6	1017
Paul_Bremer	7	1010
Paul_Bremer	9	1015
Paul_Bremer	14	1016
Paul_Sarbanes	1	1003
Paul_Sarbanes	2	1003
Paul_William_Hurley	1	1002
Pervez_Musharraf	1	1006
Pervez_Musharraf	2	1016
Pervez_Musharraf	3	1010
Pervez_Musharraf	4	1014
Pervez_Musharraf	5	1007
Pervez_Musharraf	5	1015
Phil_Gramm	1	1002
Prince_Edward	1	1002
Ricardo_Lagos	3	1012
Ricardo_Lagos	23	1027
Ricardo_Monasterio	1	1002
Rich_Gannon	1	1002
Rick_Perry	1	1004
Rick_Perry	1	1005
Rick_Perry	2	1004
Rick_Perry	3	1004
Robert_Bonner	2	1003
Robert_Evans	2	1003
Robert_Fico	1	1002
Romano_Prodi	3	1005
Roy_Moore	2	1005
Roy_Moore	3	1006
Sachiko_Yamada	1	1002
Sachiko_Yamada	1	1004
Sachiko_Yamada	2	1003
Sachiko_Yamada	2	1004
Saeb_Erekat	1	1002
Sam_Bith	1	1002
Sam_Bith	1	1003
Sam_Bith	2	1003
Sean_Hayes	1	1002
Sergio_Garcia	1	1002
Silvia_Farina_Elia	1	1002
Steve_Ballmer	1	1002
Steve_Ballmer	1	1003
Stockard_Channing	1	1003
Stockard_Channing	2	1003
Terry_McAuliffe	1	1002
Terry_McAuliffe	1	1003
Thomas_Rupprath	1	1003
Thomas_Rupprath	2	1003
Tom_Ridge	6	1016
Tom_Ridge	8	1025
Tom_Ridge	9	1026
Tom_Ridge	18	1022
Tommy_Haas	4	1005
Tommy_Thompson	1	1002
Tommy_Thompson	1	1007
Tommy_Thompson	2	1008
Tommy_Thompson	4	1008
Tommy_Thompson	6	1009
Tomoko_Hagiwara	1	1002
Trent_Lott	1	1002
Trent_Lott	2	1003
Trent_Lott	2	1008
Trent_Lott	6	1011
Trent_Lott	7	1010
Trent_Lott	8	1016
Tsutomu_Takebe	1	1002
Tyler_Hamilton	1	1002
Tyra_Banks	1	1002
Vaclav_Havel	2	1004
Vaclav_Havel	2	1005
Vaclav_Havel	2	1006
Vaclav_Havel	4	1009
Vaclav_Havel	5	1007
Valerie_Harper	1	1002
Vince_Carter	3	1004
Vincent_Brooks	2	1003
Vincent_Brooks	2	1007
Vincent_Brooks	4	1005
Vincent_Brooks	4	1007
Vincent_Gallo	1	1002
Vitali_Klitschko	1	1002
Vitali_Klitschko	3	1004
William_Macy	1	1004
William_Macy	2	1004
William_Macy	3	1004
Woody_Allen	2	1004
Woody_Allen	3	1005
Yukiko_Okudo	1	1002
Zico	1	1002
Zico	2	1003
Abdel_Madi_Shabneh	1	Dean_Barker	1001
Abdel_Madi_Shabneh	1	Giancarlo_Fisichella	1001
Abdel_Madi_Shabneh	1	Mikhail_Gorbachev	1001
Abdul_Rahman	1	Portia_de_Rossi	1001
Abel_Pacheco	1	Jong_Thae_Hwa	1002
Abel_Pacheco	2	Jean-Francois_Lemounier	1001
Afton_Smith	1	Dwayne_Wade	1001
Ahmad_Jbarah	1	James_Comey	1001
Akhmed_Zakayev	2	Donna_Morrissey	1001
Alan_Dershowitz	1	Bertrand_Bonello	1001
Alanis_Morissette	1	Martin_Cauchon	1001
Alexander_Lukashenko	1	Heather_Chinnock	1001
Alfonso_Cuaron	1	Jason_Priestley	1001
Alfonso_Cuaron	1	Patty_Schnyder	1002
Alfonso_Soriano	1	Bill_Nelson	1002
Alfonso_Soriano	1	Julio_De_Brun	1001
Alfonso_Soriano	1	Patty_Schnyder	1003
Alonzo_Mourning	1	Cecilia_Cheung	1001
Amber_Tamblyn	2	Benjamin_Netanyahu	1001
Amporn_Falise	1	Joe_Pantoliano	1001
Anders_Fogh_Rasmussen	2	Johnson_Panjaitan	1002
Andre_Bucher	1	Joseph_Ralston	1001
Andre_Bucher	1	Maria_Garcia	1001
Andrew_Gilligan	1	Henry_Castellanos	1001
Andrew_Shutley	1	Edmund_Stoiber	1005
Andrew_Shutley	1	Mitchell_Swartz	1001
Andrew_Shutley	1	Saeb_Erekat	1002
